"","ybar","theta_hat"
"Aglianico del Vulture",87.7647058823529,87.7635580411922
"Alto Adige",87.430303030303,87.4299654160316
"Alto Adige Valle Isarco",87.7142857142857,87.7111153658995
"Asolo Prosecco Superiore",87.1111111111111,87.1094021318707
"Barbera d'Alba",87.0512820512821,87.0509627811825
"Barbera d'Asti",87.1016949152542,87.1018607914283
"Barbera d'Asti Superiore",87.2962962962963,87.2954819371379
"Bardolino",87.3,87.30003370975
"Bolgheri",87.3636363636364,87.3633139144656
"Campi Flegrei",87.6666666666667,87.664036829476
"Cannonau di Sardegna",87.1428571428571,87.1421555194779
"Carignano del Sulcis",88,87.9964164827106
"Carmignano",87.7142857142857,87.7120665933324
"Cerasuolo di Vittoria",87,86.9984256361547
"Cerasuolo di Vittoria Classico",88.6666666666667,88.6596279871751
"Cesanese del Piglio",87.6,87.597963964133
"Chianti Classico",86.956043956044,86.9557385201445
"Chianti Montalbano",87.2,87.197781299516
"Chianti Rufina",87.48,87.4788607894649
"Cirò",86.7142857142857,86.7138343824347
"Colline Novaresi",86.8571428571429,86.8561630056804
"Collio",87.2391304347826,87.2389129477158
"Conegliano Valdobbiadene Prosecco Superiore",86.8174603174603,86.8175488410308
"Dogliani",87.8,87.7967800005653
"Etna",88.1363636363636,88.1353893658622
"Falanghina del Sannio",87.8,87.794655929891
"Fiano di Avellino",87.8461538461538,87.8442029064141
"Friuli Colli Orientali",86.7368421052632,86.7363741283411
"Greco di Tufo",88.2666666666667,88.2652120784555
"Irpinia",87.2941176470588,87.2933158348256
"Isola dei Nuraghi",87.8,87.7981536591372
"Lambrusco di Sorbara",87.5555555555556,87.5541196829569
"Lugana",88.32,88.3190254148209
"Maremma",86.8620689655172,86.8622036936305
"Maremma Toscana",87.7586206896552,87.7583631706303
"Molise",87.1428571428571,87.142558293079
"Monica di Sardegna",86.8,86.7998828368027
"Montefalco Rosso",87.375,87.3738072303062
"Morellino di Scansano",87.041095890411,87.0410174846693
"Nebbiolo d'Alba",87.6363636363636,87.63577264425
"Offida Pecorino",88,87.9986815585873
"Orvieto Classico Superiore",86.75,86.7478705113067
"Primitivo di Manduria",87.4666666666667,87.4664568513454
"Roero",87.2692307692308,87.2687636311691
"Romagna",87.28125,87.2802789973623
"Rosso del Veronese",86.8,86.7999945541197
"Rosso di Montalcino",87.7058823529412,87.7051476532187
"Rosso di Montepulciano",87.1408450704225,87.1406521965296
"Salice Salentino",86.8857142857143,86.8857100331224
"Soave Classico",87.2747252747253,87.2746325289078
"Soave Classico Superiore",88,87.9971956273485
"Toscana",86.7086956521739,86.7087891677165
"Trento",88.9230769230769,88.920176701839
"Umbria",86.6326530612245,86.6329642968334
"Valdobbiadene Prosecco Superiore",88.2121212121212,88.2116373136893
"Valpolicella Classico Superiore Ripasso",87.3921568627451,87.3914875183804
"Valpolicella Ripasso",86.6666666666667,86.665855745254
"Verdicchio dei Castelli di Jesi Classico Superiore",87.7777777777778,87.7770079217441
"Verdicchio di Matelica",88.7777777777778,88.7733626040681
"Vermentino di Gallura",88.5714285714286,88.5673248119363
"Vermentino di Sardegna",87.4444444444444,87.4434222209405
"Vernaccia di San Gimignano",87.2098765432099,87.2098510717105
"Veronese",87,86.9988222843511
"Vigneti delle Dolomiti",86.8157894736842,86.815476715379
"Vino Nobile di Montepulciano",87.7777777777778,87.7757439290804
"Vittoria",88.2857142857143,88.2803799856013
